Name,Actual_PublishMonth,Predicted_PublishMonth
Romeo and Juliet (Saddleback Classics),12,3
"The Bible, the Qur'an, and Science: The Holy Scriptures Examined in the Light of Modern Knowledge",1,2
Nancy Crow: Work in Transition,7,1
Harold y el lÃ¡piz color morado,3,4
The Foxman,5,1
Mystery of the Roman Ransom,11,12
The Legend of Zelda: Oracle of Seasons and Oracle of Ages Official Strategy Guide,5,11
King Con,6,7
The Antarctic Environment and International Law,6,1
Magical Mystery Tours: My Life with the Beatles,4,10
Chronicler of the Winds,4,8
Philosophy of Religion: An Anthology,5,10
In Watermelon Sugar,7,2
Topaz in the Limelight,9,5
Introduction to Solid State Physics,11,9
New Europe,2,1
The Communication Catalyst,8,5
It's My Party: A Republican's Messy Love Affair with the GOP,1,4
The Pelican History of Medieval Europe (Pelican),11,11
Mastering Fiction Writing,11,1
The Collected Poems of John Hewitt,4,1
Emily Dickinson: Celebration F,1,1
The White,9,9
Nowhere,5,4
"Werke, 13 Bde., Bd.6, Kein Ort. Nirgends",3,3
The Art of Persuasion: A Practical Guide to Improving Your Convincing Power,3,1
Word 2002 for Dummies,6,1
Sustainable Communities and the Challenge of Environmental Justice,8,9
"Quetzalcoatl and the Irony of Empire: Myths and Prophecies in the Aztec Tradition, Revised Edition",2,11
John Dewey and Environmental Philosophy,11,1
The Face on the Cutting Room Floor,9,3
Diablo GuardiÃ¡n,5,4
Sera: The Way of the Tibetan Monk,11,4
The Affirmation,2,12
Better Than Prozac: Creating the Next Generation of Psychiatric Drugs,2,10
Elementary Language Arts Instruction,1,1
Jim Beckwourth: Black Mountain Man and War Chief of the Crows,12,7
"*planet of the Apes* as American Myth: Race, Politics, and Popular Culture",4,5
Yellow Steel: The Story of the Earthmoving Equipment Industry,8,1
Three Poems,8,4
Tetragrammaton: The Secret to Evoking Angelic Powers and the Key to the Apocthe Secret to Evoking Angelic Powers and the Key to the Apocalypse Alypse,9,3
Dark Rain,3,4
The Scarlet Professor: Newton Arvin: A Literary Life Shattered by Scandal,3,10
Summer of Storms,6,4
The Bell Tower: The Case of Jack the Ripper Finally Solved... in San Francisco,5,12
"Arco Master the Emergency Dispatcher: 911 Operator Exam, 2nd Edition",7,1
OBD: Obsessive Branding Disorder: The Business of Illusion and the Illusion of Business,6,9
The Widow of the South,9,5
"Philadelphia and the China Trade, 1682-1846: Commercial, Cultural, and Attitudinal Effects",11,1
Using Your HP 95LX: Practical Examples and Applications,6,1
Jim Morrison,9,1
"The California Landscape Garden: Ecology, Culture, and Design",6,10
Architecture Now! Vol. 2,1,1
Law and Grace,12,9
"The American Popular Ballad of the Golden Era, 1924-1950: A Study in Musical Design",11,1
Plantation Life in Texas,9,5
Plays Without Endings: Tough Choices (Stories and Plays Without Endings),6,10
The Complete Nonsense of Edward Lear,6,1
F. Scott Fitzgerald (Bloom's Modern Critical Views),9,12
"Murder By the Book (Megan Clark, #5)",6,2
"Bad Signal, Volume 2",1,11
Cabrera Infante's ï¿½tres Tristes Tigresï¿½: The Trapping Effect of the Signifier Over Subject and Text,7,1
"The Last Temptation (Tony Hill & Carol Jordan, #3)",3,9
Louis XV et sa cour,10,1
The Hasty Papers,1,12
Black Swans and Other Stories,7,1
A Short History of Modern Philosophy (Routledge Classics),11,4
"Changing Face of Home, The: The Transnational Lives of the Second Generation: The Transnational Lives of the Second Generation",12,1
Our Mutual Friend Volume I of 3[EasyRead Comfort Edition],12,11
Art Through the Ages,12,12
Sex on the Beach and Other Wild Drinks!,4,7
"The Helldivers' Rodeo: A Deadly, Extreme, Spear Fishing Adventure Amid the Offshore Oil Platforms in the Murky Waters of the Gulf of Mexico",1,3
The Neurobiology of Parental Behavior,6,1
About Time 1: The Unauthorized Guide to Doctor Who (Seasons 1 to 3),1,4
School of Light,6,3
The Probabilistic Method,8,6
"War Crimes Against Women, Prosecution in International War Crimes",9,9
Manufacturing Planning and Control for Supply Chain Management,1,3
Lloyds Bank Small Business Guide 11th Edition,1,1
Hegel and the Arts,5,3
Walking Auckland,4,1
The Martin Buber Reader,9,6
Black Atlantic Politics: Dilemmas of Political Empowerment in Boston and Liverpool,8,1
Thieves' World Graphics,10,11
Apocalypse Meow Volume 3,11,8
Behaviour of Offshore Structures : Hydrodynamics and Cable Dynamics,6,1
Living in the Open,2,10
Physics: Books I and II (Clarendon Aristotle Series),3,11
Love Smart: Find the One You Want- -Fix the One You Got,12,9
Godfather of the Kremlin: The Decline of Russia in the Age of Gangster Capitalism,9,8
The Norton Book of Nature Writing,3,8
Seven Little Postmen,6,7
Aesthetics and Subjectivity: From Kant to Nietzche,7,6
Two Souls Indivisible,5,4
An American Rhapsody: The Story of George Gershwin,3,4
The 6th Grade Nickname Game,8,11
Angels are Talking: A Psychic Medium Relays Messages From the Heavens,6,1
The Buccaneers,10,8
"Glass, Paper, Beans: Revolutions on the Nature and Value of Ordinary Things",8,3
The Essential Writings Of Emile Coue,10,12
"Iutam Symposium on Diffraction and Scattering in Fluid Mechanics and Elasticity: Proceeding of the Iutam Symposium Held in Manchester, United Kingdom, 16-20 July 2000",5,1
Christmas in July: The Life and Art of Preston Sturges,10,8
Health Care and the Rise of Christianity,9,4
Curious George's Big Book of Curiosity,10,8
Midpoints: Identify & Integrate Midpoints Into Horoscope Synthesis,6,2
Georgia Boy,8,2
The Sandman Companion,12,9
The Cotton Patch Version of Hebrews and the General Epistles,11,5
Pros and Cons: Social Policy Debates of Our Time,6,1
Jonathan Sewall: Odyssey of an American Loyalist,4,1
Perpetual War for Perpetual Peace: How We Got to Be So Hated,4,4
VogueÂ® Knitting Designer Knits,6,11
Love on the Left Bank,1,6
"Blacks and Whites in Sao Paulo, Brazil, 1888-1988",11,8
Biblical Principles for Becoming Debt Free!: Rescue Your Life & Liberate Your Future,5,1
Supermarket Magic (A Sniffy book),9,1
The Undoing of Death,10,2
Management Control in Today's Teamwork Organization: How to Get Things Done Without Exercising Direct Authority,1,1
The Colossus of Maroussi,1,9
"Old-Fashioned Country Christmas: A Holiday Keepsake of Recipes, Traditions, Homemade Gifts, Decorating Ideas, & Favorite Childhood Memories",7,5
The History of Money (Money series),10,8
The Wormwood File: E-mail from Hell,10,12
Philosophy: Principles and Problems,4,3
The Preacher's Daughter (Bountiful Blessings #3),8,6
By the Pen,12,1
Life Overflowing: The Spiritual Walk of the Believer,10,7
Stockhausen on Music: Lectures and Interviews,9,4
"Lorenzetti's Golden Mean: The Riformatori of Siena, 1368-1385",2,1
"The Shining Ones (The Tamuli, #2)",1,12
Theology as Hermeneutics: Rudolf Bultmann's Theology of the History of Jesus,5,1
Creation Stories of the Middle East,11,12
Jesus Christ Liberator: A Critical Christology for Our Time,10,1
Accumulating Histories: African Art From The Charles B. Benenson Collection At The Yale University Art Gallery,4,2
Principles of Liberty,7,1
Vault Career Guide to Investment Management,7,6
The Criminalization of Christianity,4,9
"Managing Information Technology's Organisational Impact, II: Proceedings of the Ifip Tc9 Conference on Managing Information Technology's Organisational Impact, II, Adelaide, Australia, 7-8 October, 1991",1,1
"The Million Dollar Kick (The Million Dollar Series, #2)",9,2
"Snap Hook (Jack Austin Mystery, #2)",7,1
Ismaelillo,1,4
Wilkinsâ€™ Tooth,3,10
Stepping Across: Four Interdisciplinary Studies Of Education And Cultural Politics,4,9
Goethe und Beethoven,3,1
The Loss of Sadness: How Psychiatry Transformed Normal Sorrow Into Depressive Disorder,6,2
"Star Wars: Episode I: The Phantom Menace, Volume 2",1,11
"í•´ë¦¬ í¬í„°ì™€ ë§ˆë²•ì‚¬ì˜ ëŒ 1 (Harry Potter #1, part 1 of 2)",1,1
"The Concrete River (Jack Liffey, #1)",12,10
Tea and Tea Products: Chemistry and Health-Promoting Properties,7,1
Fifty Years in Science and Religion: Ian G. Barbour and His Legacy,2,12
Passing Time on Bridge Water Lane,1,1
Geek to Chic,8,2
Like a Fish in Water: Yoga for Children,9,6
The Climb,9,12
"Unwrap the Mummy! a Four-Foot-long, Fact-Filled, Pop-Up Mummy to Explore!",9,1
Black Beauty (The Illus Children's Library),9,3
The Collapse of Soviet Communism: A View from the Information Society,1,1
Moon Handbooks Wyoming,4,1
"Biplanes, Triplanes and Seaplanes: 300 of the World's Greatest Aircraft",8,3
In the Presence of Mine Enemies: 1965-1973 - A Prisoner of War,5,2
E Nesbit: Author Study Activities for Key Stage 2,2,1
A Grand Delusion: America's Descent Into Vietnam,1,1
Crazy Horse: A Lakota Life,11,12
Carefree Is the Gypsy Life,6,1
Tools for Structured and Object-Oriented Design: An Introduction to Programming Logic,10,7
Subwayland: Adventures in the World Beneath New York,2,6
Weird Tales 291 (Summer 1988),6,1
"Talon and Fang (Heart of the World, #2) (Outlanders, #25)",5,3
The Chequer Board,1,4
Vina: In the Eyes of a Child,10,1
"No Dogs Allowed (Fraser Brothers, #1)",8,11
"Civil Society, Religion and Global Governance: Paradigms of Power and Persuasion",5,1
"Genesis (Tyndale Old Testament Commentary, #1)",7,8
Squalor and Splendor: Expat Tales of East and West,3,1
The Politics of Assimilation: A Study of the French Jewish Community at the Time of the Dreyfus Affair,1,12
Modern World History: Patterns of Interaction: Reading Study Guide (English),3,8
"A Serious Call to a Devout and Holy Life, Adapted to the State and Condition of All Orders of Christians",3,5
"To Bed or Not To Bed: What Men Want, What Women Want, How Great Sex Happens",12,6
Falling in Place,5,9
Mosquito,7,3
"10,000 Ways to Say I Love You: The Biggest Collection of Romantic Ideas Ever Gathered in One Place",2,1
The Culinary Arts Institute French Cookbook,4,1
Communication Planning: An Integrated Approach,8,1
Public Law and Democracy in the United Kingdom and the United States of America,3,1
Fantastic Voyage: Live Long Enough to Live Forever,10,7
Get Off My Honor!: The Assault on the Boy Scouts of America,7,6
Random Perturbation Methods with Applications in Science and Engineering,7,1
"All Through the Night (Troubleshooters, #12)",10,6
Santa Monica Beach: A Collector's Pictorial History,10,10
Exercise Book for Working with Words: A Handbook for Media Writers and Editors,7,4
The Elderly in America: Volunteerism and Neighborhood in Seattle,3,1
Wizard of the Grove (Wizard of the Grove #1-2),1,12
"Preparing for the Loss of Your Pet: Saying Goodbye with Love, Dignity, and Peace of Mind",10,10
George Frideric Handel (Sowers Series),11,9
"Neo-Impressionism and the Search for Solid Ground: Art, Science, and Anarchism in Fin-de-Siecle France",6,1
Uncle Wiggily's Travels,1,8
Dead Heat (Michael Spraggue Mystery #3),1,3
Line by Line: The Drawings of Henri Cartier-Bresson,10,1
Fire & Gold: The San Francisco Story,1,1
The Letters of Sigmund Freud & Arnold Zweig,2,1
Tis Unabridged: A Memoir,11,8
Wrestlecrap,10,5
Olympio: The Life of Victor Hugo,1,9
"Star Wars, Weather Mods & Full Spectrum Dominance",10,12
"The Civil War, Volume 1",6,1
In the Chat Room with God,10,5
Miffy at the Seaside,1,9
Guitar World Presents Nirvana and the Grunge Revolution,10,1
"Moominsummer Madness (The Moomins, #5)",2,3
Foster's Home For Imaginary Friends Jr. Chapter Book,1,10
Barbarian Lens: Western Photographers of the Qianlong Emperor's European Palaces,10,1
Essentials of Teaching and Learning in Nursing Ethics: Perspectives and Methods,2,10
An Introduction to English Runes,5,2
Easels of Utopia: Art's Fact Returned,1,1
Jihad Hot Spots: 3070,10,1
Decorating with Antiques: Confidently Combining Old and New,11,3
Erin's Blood Royal,4,11
Cambridge Wizard Student Guide Brave New World/Blade Runner/Elective: In the Wild,12,1
If They Move . . . Kill 'Em!: The Life and Times of Sam Peckinpah,12,11
"South Boston, My Home Town: The History of an Ethnic Neighborhood",2,4
Letters from Pemberley: The First Year,5,4
No Quarter (The Matty Graves Novels #1),4,10
Miguel de Cervantes (Bloom's Modern Critical Views),12,5
"Chaplin's ""limelight"" and the Music Hall Tradition",9,6
Contemporary Maine Fiction,9,5
A Woman's Passion for Travel: More Stories from a Woman's World,9,5
Mission Pilot: High Adventure in Dangerous Places: The David Gates Story,1,8
This Land Was Made for You and Me: The Life and  Songs of Woody Guthrie,4,2
The Price of Honor,4,12
Black Elk in Paris,3,12
The New Linguistic and Exegetical Key to the Greek New Testament,10,10
Larry Ellison: Database Genius of Oracle,12,12
Harvesting the Heart,4,10
"The Devil's Cup: Coffee, The Driving Force In History",6,12
"The World Exists for Me, Volume 1",12,1
Rosie and the Nightmares,11,10
The Talented Mr. Ripley,12,5
"Now More Than Ever: Proceedings of the Aldous Huxley Centenary Symposium, MÃ¼nster, 1994",2,1
Moroccan Interiors,3,12
"Danielle's Dollhouse Wish (Doll Hospital, #5)",10,8
The White Headhunter: The Story of a 19th-Century Sailor Who Survived a South Seas Heart of Darkness,8,11
The Supper Book,2,1
The Last Crusade: Americanism and the Islamic Reformation,12,1
San Antonio: Outpost of Empires,1,10
Hollywood Scapegoat;The Biography Of Erich Von Stroheim,1,1
"Pattern Recognition and Image Analysis: First Iberian Conference, Ibpria 2003 Puerto de Andratx, Mallorca, Spain, June 4 6, 2003 Proceedings",5,1
The Sex Book: An Alphabet of Smarter Love,8,4
Grammaire Progressive du FranÃ§ais,4,9
Joey the Hitman: The Autobiography of a Mafia Killer,3,8
See It and Say It in Spanish,10,10
"The American Journey, Combined Volume",2,9
War and Faith in Sudan,8,9
In the Shadow of the Hawk: An Intimate Chronicle of World War II and One Woman's Search for Meaning,7,1
El lenguaje de la pasiÃ³n,1,9
The Sanders Price Guide to Sports Autographs,11,1
The Limits of Enlightenment: Joseph II and the Law,8,1
Rooms with a View: The Stages of Community in the Modern Theater,8,1
New X-Men: Academy X Vol. 2: Haunted,7,3
"Medicus (Gaius Petreius Ruso, #1)",3,10
How to Rebuild the Small-Block Ford,10,12
Understanding the Stock Market,3,1
Clocks & Watches,1,1
Phonetic Data Analysis: An Introduction to Fieldwork and Instrumental Techniques,9,11
Dead Lawyers and Other Pleasant Thoughts,5,5
Toad Triumphant,10,12
War Against the Poor: Low-Intensity Conflict and Christian Faith,12,12
The Origin of Species: A Variorum Text,5,10
Attracting Butterflies & Hummingbirds to Your Backyard: Watch Your Garden Come Alive With Beauty on the Wing,10,11
The Intimate Act of Choreography,7,1
"Literary Reflections: Michener on Michener, Hemingway, Capote, and Others",11,10
The Beginner's Guide to Flying,1,1
Adorno,9,10
Creating Community With Food and Drink in Merovingian Gaul,11,1
Behind the Glittering Mask: Michael Exposes Lucifer's Lies about the Seven Deadly Sins,12,10
Christianity and Culture: The Idea of a Christian Society and Notes Towards the Definition of Culture,4,3
Jesus Washes Peter's Feet (Arch books),1,9
Last in My Class: How Humor Helped Me Survive Alcoholism,11,1
Seeking the Sacred: Leading a Spiritual Life in a Secular World,4,8
Popular Psychology: An Encyclopedia,1,12
Magical Creatures,9,10
"Never Say Never (American Beauties, #3)",5,12
"Andromeda Stories, Vol. 1",9,3
X-Men: Empire's End,9,2
Liza of Lambeth,9,4
Alvar Aalto,3,6
"Dresden: Tuesday, February 13, 1945",2,9
Messiah of the Masses: Huey P. Long and the Great Depression (Library of American Biography),1,11
"Inner-City Schools, Multiculturalism, and Teacher Education: A Professional Journey",3,1
The Strange Disappearance of Arthur Cluck,10,10
Concrete Island,10,10
World's Best Recipes,5,1
Hope And Healing: Peaceful Parenting in an Uncertain World,9,1
Cathedrals of Kudzu: A Personal Landscape of the South,4,10
L'Etat Et La Justice: Les Problemes Ethiques Et Politiques Dans La Philosophie Anglo-Saxonne John Rawls Et Robert Nozick,12,1
A Guide for Using Strega Nona in the Classroom,10,10
"Parerga and Paralipomena: Short Philosophical Essays, Vol. 2",6,9
O'Hurley's Return (O'Hurley's #3-4),1,4
"Schott's Sporting, Gaming, and Idling Miscellany",11,4
Handwriting Analysis and the Employee Selection Process: A Guide for Human Resource Professionals,10,1
I Ching: Book of Changes,2,8
Baby's Christmas,2,7
"Exploring Office XP, Vol. 1 - Enhance First Edition",1,1
"My Likeness Taken: Daguerreian Portraits in America, 1840-1860",1,2
"Chestnut Mare, Beware (Natalie Gold, #2)",8,7
At War with Ourselves: Why America Is Squandering Its Chance to Build a Better World,10,9
Gay Conservatives: Group Consciousness and Assimilation (Haworth Gay and Lesbian Studies) (Haworth Gay and Lesbian Studies),12,10
When They Severed Earth from Sky: How the Human Mind Shapes Myth,9,6
A Collection of Stories,4,10
Grits Friends Are Forevah,12,11
The Authority of the believer,6,1
Graham Greene's Narrative Strategies: A Study of the Major Novels,10,7
The Origins of the Urban Crisis: Race and Inequality in Postwar Detroit,8,12
Commonsense Outdoor Medicine and Emergency Companion,5,1
Easy Travel to Other Planets,6,3
"Philip K. Dick is Dead, Alas",1,8
Thomas Wharton's Adenographia,7,1
Fig Pudding,9,3
Les fourmis,1,4
From the Mouth of God: Changing Life Struggles to Powerful Energy,2,1
Feast of Souls: Indians and Spaniards in the Seventeenth-Century Missions of Florida and New Mexico,10,12
Optimal Management of Flow in Groundwater Systems: An Introduction to Combining Simulation Models and Optimization Methods,1,9
Behind the Veil: An American Woman's Memoir of the 1979 Iran Hostage Crisis,11,1
Empire of Capital,1,7
Maids: An Erotic Anthology,12,12
"The Presence of the Past: Memory, Heritage and Childhood in Post-War Britain",11,12
"The Rosamunde Pilcher Collection (Collection, #2)",2,11
Highsmith: A Romance of the 1950's,6,6
Peanuts: The Art of Charles M. Schulz,10,6
"Fright Party (Wacky Facts Lunch Bunch, #3)",9,1
The Way: Using the Wisdom of Kabbalah for Spiritual Transformation and Fulfillment,8,10
Hokum: An Anthology of African-American Humor,1,8
"Treasure Islands: The Fascinating World of Pirates, Buried Treasure and Fortune Hunters",2,9
Oceanic Collection: Penguin's Family: The Story of a Humboldt Penguin,10,7
Like Water in a Dry Land: A Journey Into Modern Israel,5,6
A More Obedient Wife: A Novel of the Early Supreme Court,10,6
So Few Got Through: Gordon Highlanders with the 51st Division from Normandy to the Baltic,6,3
Bee-bim Bop!,9,9
A Witch Alone: Thirteen Moons to Master Natural Magic,2,4
Madre noche,9,11
Los Pasadizos del Poder,1,9
The Power and the Story: How the Crafted Presidential Narrative Has Determined Political Success from George Washington to George W. Bush,6,8
Hallelujah: The Poetry of Our Classic Hymns,9,12
Before Writing: Rethinking the Paths to Literacy,1,9
Dusklands,1,1
"The Soul Hunter (Day of Evil, #2)",5,1
"London and the Culture of Homosexuality, 1885 - 1914 (Cambridge Studies in Nineteenth-Century Literature and Culture)",10,9
"The Age of Reason (The Roads to Freedom, #1)",7,3
Maigret and the Saturday Caller,4,6
"The Torso in the Town (Fethering Mystery, #3)",9,7
Cello Technique: Principles and Forms of Movement,8,3
Research Implications For Writing In The Content Areas,1,1
Handbook of Human Factors and Ergonomics Methods,8,1
Japanese Death Poems: Written by Zen Monks and Haiku Poets on the Verge of Death,4,2
Prosody in Speech Understanding Systems,9,1
The Turning Blade,12,12
The Gambler/Bobok/A Nasty Story,5,9
Itty Gritty Critters,5,1
"Wolf Captured (Firekeeper Saga, #4)",10,4
An Anarchy in the Mind and in the Heart: Narrating Anglo-Ireland,2,10
Like No Other Time: The Two Years That Changed America,8,2
BrassaÃ¯ L'universel (Midsize),7,5
Bloomsbury: A House of Lions,5,1
Reading Don't Fix No Chevys: Literacy in the Lives of Young Men,3,6
Deep Ministry in a Shallow World: Not-So-Secret Findings about Youth Ministry,8,10
The Complete English Works,7,2
A Private Cosmos,11,1
"Museums, Anthropology and Imperial Exchange",9,8
Doctor Faustus: The Life of the German Composer Adrian Leverkuhn as Told by a Friend,10,1
In This Mountain,5,6
Aisles,11,4
Italian Days,9,7
11th Hour,9,10
From Russia With Love,1,5
Cocinando!: Fifty Years of Latin Album Cover Art,1,8
Mastering Resin,9,1
"The Sword and the Chain (Guardians of the Flame, #2)",4,6
Dreamland: Travels Inside the Secret World of Roswell and Area 51,5,12
Blood and Vengeance: One Family's Story of the War in Bosnia,6,8
The DC Comics Encyclopedia,10,1
My Uncle Napoleon,4,8
The Last Forest: The Amazon in the Age of Globalization,2,3
Proust And Signs: The Complete Text,10,6
War Dog,10,6
Minding What Matters: Psychotherapy and the Buddha Within,6,11
"Behold the Man (The Kingdom and the Crown, #3)",10,10
On Her Majesty's Secret Service,6,10
The Evans Guide for Counseling Dog Owners,3,1
Both Sides Now: One Man's Journey Through Womanhood,3,3
A House on the Water: Inspiration for Living at the Water's Edge,9,8
A Year of Fun Just for One's,9,7
"PrÃ©tear, Vol. 3 (PrÃ©tear, #3)",10,1
NeÌfertiti et AkheÌnaton: Le Couple Solaire,7,4
Jurassic Shark,2,1
Prophet of the People: A Biography of Padre Pio,3,3
Hellish Relish,11,1
The Birth of the Clinic: An Archaeology of Medical Perception,3,9
Studies in the Judicial Methodology of Rabbi David Ibn ABI Zimra,12,1
"The Pain-Free Program: A Proven Method to Relieve Back, Neck, Shoulder, and Joint Pain",9,12
Throne of Isis,4,3
Die Handschriftenillustrationen Des O Willehalmo Wolfram Von Eschenbach (German Edition),3,1
The Isles of the Many Gods: An A-Z of the Pagan Gods & Goddesses Worshipped in Ancient Britain During the First Millenium Ce Through to the Middle,1,7
No Escape from Love: A Sensual Contempoary Romance,8,1
The Cambridge Companion to Frances Burney,3,1
"Asimov Laughs Again: More Than 700 Jokes, Limericks and Anecdotes",9,11
"Hugs for Girlfriends: Stories, Sayings, and Scriptures to Encourage and Inspire The...",1,1
Splish Splash,4,9
66 Days Adrift: A True Story of Disaster and Survival on the Open Sea,2,3
Black Poets of the United States: From Paul Laurence Dunbar to Langston Hughes,3,12
Global Communication in Transition: The End of Diversity?,2,10
La CrÃ©olitÃ© de Saint-John Perse,1,1
Big Trifles and Little People: Memoirs of a Russian Nobleman,12,1
Shinto Meditations for Revering the Earth,4,9
Substance Abuse Counseling,7,1
The Making of a Modern Japnese Architecture: From the Founders to Shinohara and Isozaki,4,1
Five Little Gefiltes,2,4
I and Thou,11,9
My Uncle the Werewolf,1,1
"A Wizard in the Way (Rogue Wizard, #9)",11,2
Tear Soup: A Recipe for Healing After Loss,4,1
Living History in the Classroom: Integrative Arts Activities for Making Social Studies Meaningful,8,1
A Course in Econometrics,4,3
"Pastime (Spenser, #18)",12,1
The Faiths of Our Fathers: What America's Founders Really Believed,7,10
"Mardi Gras and Bacchus: Something Old, Something New",7,1
Isaac Asimov's Guide to Earth & Space,10,10
Probable Cause: Crime Fiction in America,1,1
"The Cereal Box Mystery (The Boxcar Children, #65)",1,3
The Penguin Book of Modern African Poetry,2,9
"St. George: Knight, Martyr, Patron Saint and Dragonslayer",3,10
The Self-Help Way to Treat Colitis and Other I.B.S. Conditions,1,9
The Two and the One,9,7
A Bit on the Side,9,4
Tragedie A L'Everest,12,10
And Chaos Died,5,11
The Charm School (Calhoun Chronicles #1),3,5
Farewell,6,9
"Nader: Crusader, Spoiler, Icon",10,10
Bali & Lombok (Lonely Planet Guide),3,4
Where cats meditate,1,4
Gulliver in Lilliput,3,9
What Color Is Your Parachute?: A Practical Manual for Job-Hunters and Career-Changers,10,6
"House and Home in Modern Japan: Architecture, Domestic Space, and Bourgeois Culture, 1880-1930",9,9
The First Part of the Life and Achievements of the Renowned Don Quixote de La Mancha,1,1
"The Clue of the Dancing Puppet (Nancy Drew, #39)",3,1
The Owlstone Crown,3,9
In The Small Of My Backyard,4,5
Bone Dog,7,11
Abdominal Trauma: Surgical and Radiologic Diagnosis,9,1
"Measurement, Design, and Analysis: An Integrated Approach",5,1
All in the Timing,11,2
Tramps Like Us: A Novel,9,5
"The Ghost in My Closet (Full House: Michelle, #5)",11,4
Class Warfare: Interviews with David Barsamian,7,8
A General History of the Pyrates,1,8
Car Crashes & Other Sad Stories,5,11
Making Modern Science: A Historical Survey,5,4
Margaret Bourke-White,11,9
Guests of the Ayatollah,4,5
Peacemaking in International Conflict: Methods and Techniques,11,1
"Organic Syntheses, Volume 80",9,1
The Bias Against Guns: Why Almost Everything You've Heard About Gun Control is Wrong,2,2
"More Money, More Ministry: Money and Evangelicals in Recent North American History",10,1
Love's a Stage,7,6
"She's Such a Geek!: Women Write About Science, Technology, and Other Nerdy Stuff",11,2
Violence and the Sacred in the Modern World,4,1
Toilet Training in Less Than a Day,7,11
Pandora's Star,3,1
"Orchid Growing for Wimps: Techniques for the ""Wish I Could Do That"" Gardener",4,5
"Complete Life's Little Instruction Book: 1,560 Suggestions, Observations, and Reminders on How to Live a Happy and Rewarding Life",3,5
Handy Dictionary of Poetical Quotations,5,9
Human Factors in Air Traffic Control,9,1
Festival in My Heart: Poems by Japanese Children,9,4
"The Leadership Triad: Knowledge, Trust, and Power",12,1
Call of DutyÂ® 2: Big Red One(tm) Official Strategy Guide,10,6
Butterfly Colors,9,1
Ariel's Fishy Face Contest (Disney Funny Face Book),11,1
Jimmy Stewart: A Biography,11,3
"Twilight: Losing Sight, Gaining Insight",10,9
"Killing Orders (V.I. Warshawski, #3)",5,12
Beautiful Girls,3,11
"Pieces of Map, Pieces of Music",3,2
The Discomfort Zone: A Personal Journey,8,12
I Had a Hippopotamus,10,12
"When Someone You Love Has a Mental Illness: A Handbook for Family, Friends, and Caregivers, Revised and Expanded",9,11
Hands Washing Water,10,5
Anchorwoman,11,8
The Arctic Wolf,12,6
The Fertility Guide: A Couples Handbook for When You Want to Have a Baby (More Than Anything Else),2,1
Unbinding the Gospel: Real Life Evangelism,1,4
Feminism and History,5,1
Grendel: Past Prime,7,12
Historical Dictionary of Feminist Philosophy,1,10
Lazarus: Man in Black #1 - The Gates of Hell,12,10
Brother Cadfael: A Morbid Taste for Bones / One Corpse Too Many / Monk's Hood,1,1
"Bullets Over Hollywood: The American Gangster Picture from the Silents to """"The Sopranos""""",5,5
The Woman and the Dynamo: Isabel Paterson and the Idea of America,6,7
Handbook of Emotion Elicitation and Assessment,4,3
Code: Collaborative Ownership and the Digital Economy,9,1
Writing from the Inside Out: Transforming Your Psychological Blocks to Release the Writer Within,10,9
Art of Dying,2,1
The Manner Music,10,1
Readings on a Raisin in the Sun (The Greenhaven Press Literary Companion to American Literature),10,9
"The French-Inspired Home, with French General",10,4
You Can Wear It Again: A Celebration of Bridesmaids' Dresses,11,10
Totally Chocolate Cookbook,11,10
Diseases of Trees and Shrubs,12,1
Timeless,5,7
"Burning Bridges (Retrievers, #4)",5,10
Tastes Like Chicken,5,1
Pirandello and the Crisis of Modern Consciousness,4,1
Consciousness of D H Lawrence (PB),4,9
Archy and Mehitabel,9,9
How to Train Your Labrador Retriever (How to train your...series),11,1
The Search for El Dorado,12,6
Shelley's Poetry and Prose,1,11
Graphic Design Solutions,4,7
Caravaggio: Painter of Miracles,10,9
Cuba the Culture,3,1
Education & Social Change,8,1
Potential,8,1
National Audubon Society Field Guide to North American Reptiles and Amphibians,11,6
Shadow of the Rising Sun,6,1
The World Turned Upside Down: Indian Voices from Early America,3,7
Children's Stories,9,2
Sneaky Pie's Cookbook for Mystery Lovers,5,6
SparkNotes Guide to the ACT (SparkNotes Test Prep),7,9
"Payment in Blood (Inspector Lynley, #2)",6,11
The Truth about the Drug Companies: How They Deceive Us and What to Do about It,8,7
The XML Schema Companion,11,8
Vida de Dante,3,2
Temple Dusk: Zen Haiku,10,12
Crime and Nature,3,9
Jerome Rothenberg: A Descriptive Bibliography,1,1
Ted Hughes Reading His Poetry.,3,1
Dark Star : The Satanic Rites of Gilles de Rais,4,9
Anthony Robbins' 'Power-Talk' : Learn to Use Power of Questions! (Audio Cassette),3,11
Kites,2,10
Response to Intervention: Principles and Strategies for Effective Practice,10,11
Wolfsong,4,1
The Jim Crow Laws and Racism (In American History),12,4
"Right Ho, Jeeves (Jeeves, #6)",11,10
The Other Side of Truth,12,3
Man's Eternal Quest (Collected Talks & Essays 1),10,11
The Casebook of Sherlock Holmes: Volume 1,7,5
"The ""First Stage"" Guitar Book: Learn How to Play Guitar Easily & Quickly!",1,9
Going Nowhere Fast,12,4
Mulata,6,1
Homestead Year,4,12
The Greatest Submarine Stories Ever Told: Dive! Dive! Fourteen Unforgettable Stories from the Deep,8,12
Jazz Guitar Technique: Breaking the Skill Barrier,8,4
